Experiment,OTA %,Mean LT (d),P50 LT (d),P95 LT (d),Tardy WOs,Avg tardiness (d),WC_BW util %,WC_BW mean Q (d),WC_BW max Q (d),AMILL_HS util %,MMILL util %,GFC expansions,dispatch,alert_sustain,uptime
A0 — EDD (baseline),97.7,21.8,16.6,49.5,140,10.2,52.9,0.48,54.1,33.7,45.8,7,EDD,,
A1 — Slack,97.7,21.8,16.6,50.0,143,9.3,52.9,0.44,62.7,33.7,45.8,7,SLACK,,
A2 — SPT,97.6,20.7,16.3,48.2,144,10.2,52.9,0.04,54.4,33.7,45.8,7,SPT,,
A3 — FIFO,97.2,21.5,16.8,49.6,172,11.2,52.9,0.33,3.5,33.7,45.8,7,FIFO,,
B0 — Alert sustain 7 d (baseline),97.7,21.8,16.6,49.5,140,10.2,52.9,0.48,54.1,33.7,53.4,5,,7.0,
B1 — Alert sustain 3 d,97.7,21.8,16.6,49.5,140,10.2,52.9,0.48,54.1,33.7,45.8,7,,3.0,
B2 — Alert sustain 1 d,97.7,21.8,16.6,49.5,140,10.2,52.9,0.48,54.1,33.7,45.8,7,,1.0,
C0 — 100% uptime (baseline),97.7,21.8,16.6,49.5,140,10.2,52.9,0.48,54.1,33.7,45.8,7,,,1.0
C1 — 95% uptime,97.6,22.3,17.0,51.0,144,10.8,55.7,0.66,57.6,35.5,48.2,7,,,0.95
C2 — 90% uptime,97.4,23.4,17.3,55.0,160,10.0,58.8,1.0,66.1,37.4,50.9,8,,,0.9
C3 — 85% uptime,96.9,25.3,18.7,60.1,190,11.5,62.3,1.76,80.1,39.6,53.9,8,,,0.85
